year,CHE,CHN,DEU,IND,KOR,MYS,ROA,ROE,ROW,THA,USA,VNM
2021,15.359,600768.3345,15.359,15.359,230.85,461.7,7018.0743,2219.0055,15.359,15.359,15.359,3071.8
2022,30.718,1201536.669,30.718,30.718,461.7,923.4,14036.1486,4438.011,30.718,30.718,30.718,6143.6
2023,46.077,1802304.0035,46.077,46.077,692.55,1385.1,21054.2229,6656.0165,46.077,46.077,46.077,9215.4
2024,61.436,2403071.338,61.436,61.436,923.4,1846.8,28072.2972,8874.022,61.436,61.436,61.436,12287.2
2025,76.795,3003838.6725,76.795,76.795,1154.25,2308.6,35090.3715,11091.0275,76.795,76.795,76.795,15358
2026,92.154,3604606.007,92.154,92.154,1385.1,2769.2,42108.4468,13308.033,92.154,92.154,92.154,18428.8
2027,107.513,4205373.3415,107.513,107.513,1615.95,3230.8,49126.5211,15525.0385,107.513,107.513,107.513,21499.6
2028,122.872,4806140.676,122.872,122.872,1846.8,3692.4,56144.5954,17742.043,122.872,122.872,122.872,24570.4
2029,138.231,5406908.0105,138.231,138.231,2077.65,4154,63162.6697,19959.0475,138.231,138.231,138.231,27641.2
2030,153.59,6007675.345,153.59,153.59,2308.5,4615.6,70180.744,22176.051,153.59,153.59,153.59,30711
