node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7729264,4385.674108,3142.229848,2526.878556,2826.4933568
CHN,16414.50777,10896.88395,6162.465075,4128.767665,2507.202891,1442.133457,840.4387723,473.6712187,299.635138,335.1632096
DEU,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7729264,4385.674108,3142.229848,2526.878556,2826.4933568
IND,18652.84974,14101.90992,9082.143595,6929.671073,4792.255211,3139.165362,2083.402128,1337.218275,963.3327619,1077.556199
KOR,23129.53368,17486.3683,11261.85806,8592.79213,5942.396462,3892.565048,2583.418639,1658.150661,1194.532625,1336.169687
MYS,17906.73575,13537.83352,8718.857852,6652.48423,4600.565003,3013.598747,2000.066043,1283.729544,924.7994515,1034.453951
ROA,25367.87565,19178.59749,12351.71529,9424.352659,6517.467087,4269.264892,2833.426894,1818.616854,1310.132556,1465.476431
ROE,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7729264,4385.674108,3142.229848,2526.878556,2826.4933568
ROW,25367.87565,21408.6478,15391.18501,13108.97418,10119.71819,7399.716258,5482.092635,3927.78731,3158.598195,3533.116696
THA,17906.73575,13537.83352,8718.857852,6652.48423,4600.565003,3013.598747,2000.066043,1283.729544,924.7994515,1034.453951
USA,18205.18134,13763.46408,8864.172152,6763.358967,4677.241087,3063.9773928,2033.4004768,1305.1250368,940.212776,1051.6948504
VNM,17906.73575,13537.83352,8718.857852,6652.48423,4600.565003,3013.598747,2000.066043,1283.729544,924.7994515,1034.453951
