node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7730064,4385.674108,3142.2307,2526.878556,2826.4933568
CHN,13131.606216,8717.50716,4930.48406,3303.013768,2005.7623128,1153.7067656,672.3509978,378.93697496,239.7081104,268.13056768
DEU,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7730064,4385.674108,3142.2307,2526.878556,2826.4933568
IND,14922.279792,11281.527936,7265.714876,5543.7368584,3833.8041688,2511.3322896,1666.7217024,1069.77462,770.66620952,862.045592
KOR,18503.626944,13988.94704,9014.886448,6874.233704,4753.9169152,3114.8784768,2066.7349112,1326.5205288,955.6261004,1068.9357496
MYS,14325.3886,10830.266816,6975.0862816,5321.987384,3680.4520024,2410.8789976,1600.0528344,1026.9836352,739.8395612,827.5623608
ROA,20294.30052,15342.877992,9881.372232,7539.4821272,5213.9736696,3415.4119136,2266.7415152,1454.8934832,1048.1060448,1172.3811448
ROE,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7730064,4385.674108,3142.2307,2526.878556,2826.4933568
ROW,20294.30052,17126.91824,12312.94801,10487.17935,8095.774552,5919.7730064,4385.674108,3142.2307,2526.878556,2826.4933568
THA,14325.3886,10830.266816,6975.0862816,5321.987384,3680.4520024,2410.8789976,1600.0528344,1026.9836352,739.8395612,827.5623608
USA,18205.181344,13763.46408,8864.172152,6763.3589672,4677.2410872,3063.9773928,2033.4004768,1305.1250368,940.212776,1051.6948504
VNM,14325.3886,10830.266816,6975.0862816,5321.987384,3680.4520024,2410.8789976,1600.0528344,1026.9836352,739.8395612,827.5623608
