year,CHE,CHN,DEU,IND,KOR,MYS,ROA,ROE,ROW,THA,USA,VNM
2021,469.697,878195.12498,1501.9396,8515.354995,18483.49926,30385.56075,30243.3588,3711.909685,469.697,22531.878,469.697,28182.82
2022,939.394,1756390.24996,3003.8792,17030.70999,36966.99852,60771.1215,60486.7176,7423.81937,939.394,45063.756,939.394,56365.64
2023,1409.091,2634585.37494,4505.8188,25546.064985,55450.49778,91156.68225,90730.0764,11135.729055,1409.091,67595.634,1409.091,84548.46
2024,1878.788,3512780.49992,6007.7584,34061.41998,73934.99604,121542.242,121973.4352,14847.63874,1878.788,90127.512,1878.788,112731.28
2025,2348.485,4390975.6249,7509.697,42576.774975,92419.4943,152927.80375,152216.7948,18559.548425,2348.485,112659.39,2348.485,140914.1
2026,2818.182,5269170.74988,9011.636,51092.12997,110904.9926,184313.3655,182460.1544,22271.45811,2818.182,135191.268,2818.182,169096.92
2027,3287.879,6147365.87486,10513.575,59507.484965,129390.4919,215699.92725,212703.514,25983.367795,3287.879,157723.146,3287.879,197279.74
2028,3757.576,7025561.99984,12015.514,67922.83996,147876.9912,247086.489,242946.8736,29795.27748,3757.576,180254.024,3757.576,225462.56
2029,4227.273,7903757.12482,13517.453,76338.194955,166363.4905,278473.05075,273190.2332,33507.187165,4227.273,202784.902,4227.273,253645.38
2030,4696.97,8781952.2498,15019.392,84753.54995,184850.9898,309859.6125,303433.5928,37219.09685,4696.97,225315.78,4696.97,281828.2
