node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,48945.08,43515.136,31307.304,53350.584,42161.472,31119.68,22589.816,16240.272,12139.728,12622.392
CHN,32232.128,22541.848,12757.464,17101.216,10630.976,6172.5072,3524.5896,1993.2352,1172.0424,1218.6424
DEU,48945.08,43515.136,31307.304,53350.584,42161.472,31119.68,22589.816,16240.272,12139.728,12622.392
IND,35216.584,28048.272,18077.528,27596.896,19537.296,12918.48,8400.72,5409.5424,3622.9968,3767.0448
KOR,48945.08,38982.344,25124.704,38354.8,27153.528,17954.496,11675.576,7519.4584,5035.3512,5235.5536
MYS,34619.688,27572.88,17771.128,27129.152,19206.152,12799.52,8258.336,5318.6416,3561.5904,3703.196
ROA,48945.08,38982.344,25124.704,38354.8,27153.528,17954.496,11675.576,7519.4584,5035.3512,5235.5536
ROE,48945.08,43515.136,31307.304,53350.584,42161.472,31119.68,22589.816,16240.272,12139.728,12622.392
ROW,48945.08,43515.136,31307.304,53350.584,42161.472,31119.68,22589.816,16240.272,12139.728,12622.392
THA,34619.688,27572.88,17771.128,27129.152,19206.152,12799.52,8258.336,5318.6416,3561.5904,3703.196
USA,48348.184,38506.952,24818.304,37887.256,26822.384,17735.536,11532.392,7427.7584,4973.9448,5171.7048
VNM,34619.688,27572.88,17771.128,27129.152,19206.152,12799.52,8258.336,5318.6416,3561.5904,3703.196212
