edge,opex_specific_variable
CHE-CHN,213170.05071221785
CHE-DEU,15945.707168810278
CHE-IND,198267.1992640105
CHE-KOR,241815.17890337833
CHE-MYS,287811.63607355417
CHE-ROA,276194.60079920955
CHE-ROE,29796.367140666554
CHE-ROW,138591.57952662402
CHE-THA,255071.99440812312
CHE-USA,184048.5869101762
CHE-VNM,277400.20133804243
CHN-CHE,213170.05071221785
CHN-DEU,219256.33601248855
CHN-IND,91868.76927483926
CHN-KOR,27568.373932396435
CHN-MYS,116151.75469903037
CHN-ROA,120239.8740983999
CHN-ROE,205422.6607893605
CHN-ROW,246340.1410609399
CHN-THA,45639.45049804754
CHN-USA,305837.5900652825
CHN-VNM,61216.54640905357
DEU-CHE,15945.707168810278
DEU-CHN,219256.33601248855
DEU-IND,176763.05414185664
DEU-KOR,241462.42670967483
DEU-MYS,288536.32058186026
DEU-ROA,246975.98028246115
DEU-ROE,22840.00563914933
DEU-ROW,160304.27695567417
DEU-THA,227866.7831920567
DEU-USA,188775.15049713415
DEU-VNM,253203.70237923563
IND-CHE,198267.1992640105
IND-CHN,91868.76927483926
IND-DEU,176763.05414185664
IND-KOR,112897.77864819476
IND-MYS,52742.18536714688
IND-ROA,37270.59434208042
IND-ROE,185798.28293382762
IND-ROW,168267.08637432063
IND-THA,64405.36414275538
IND-USA,334431.4177495373
IND-VNM,74230.47725380156
KOR-CHE,241815.17890337833
KOR-CHN,27568.373932396435
KOR-DEU,241462.42670967483
KOR-IND,112897.77864819476
KOR-MYS,128686.07330366028
KOR-ROA,134778.82972308462
KOR-ROE,252334.64001502105
KOR-ROW,297170.4162529972
KOR-THA,87547.63625815841
KOR-USA,308918.94458666406
KOR-VNM,75927.17822529836
MYS-CHE,287811.63607355417
MYS-CHN,116151.75469903037
MYS-DEU,288536.32058186026
MYS-IND,52742.18536714688
MYS-KOR,128686.07330366028
MYS-ROA,39124.81028709468
MYS-ROE,274309.55023003853
MYS-ROW,291159.27463279105
MYS-THA,26978.57323647376
MYS-USA,362177.7847814262
MYS-VNM,32184.09368182096
ROA-CHE,276194.60079920955
ROA-CHN,120239.8740983999
ROA-DEU,246975.98028246115
ROA-IND,37270.59434208042
ROA-KOR,134778.82972308462
ROA-MYS,39124.81028709468
ROA-ROE,261386.69486585035
ROA-ROW,228196.93007674282
ROA-THA,45282.61394116374
ROA-USA,317153.0699867205
ROA-VNM,76833.42240300207
ROE-CHE,29796.367140666554
ROE-CHN,205422.6607893605
ROE-DEU,22840.00563914933
ROE-IND,185798.28293382762
ROE-KOR,252334.64001502105
ROE-MYS,274309.55023003853
ROE-ROA,261386.69486585035
ROE-ROW,204971.54353438996
ROE-THA,215149.35406213683
ROE-USA,180133.64711622284
ROE-VNM,240826.96789414518
ROW-CHE,138591.57952662402
ROW-CHN,246340.1410609399
ROW-DEU,160304.27695567417
ROW-IND,168267.08637432063
ROW-KOR,297170.4162529972
ROW-MYS,291159.27463279105
ROW-ROA,228196.93007674282
ROW-ROE,204971.54353438996
ROW-THA,296778.9703776456
ROW-USA,265007.25522420985
ROW-VNM,227395.1346057501
THA-CHE,255071.99440812312
THA-CHN,45639.45049804754
THA-DEU,227866.7831920567
THA-IND,64405.36414275538
THA-KOR,87547.63625815841
THA-MYS,26978.57323647376
THA-ROA,45282.61394116374
THA-ROE,215149.35406213683
THA-ROW,296778.9703776456
THA-USA,374346.00564350494
THA-VNM,40337.42316941713
USA-CHE,184048.5869101762
USA-CHN,305837.5900652825
USA-DEU,188775.15049713415
USA-IND,334431.4177495373
USA-KOR,308918.94458666406
USA-MYS,362177.7847814262
USA-ROA,317153.0699867205
USA-ROE,180133.64711622284
USA-ROW,265007.25522420985
USA-THA,374346.00564350494
USA-VNM,330677.966127343
VNM-CHE,277400.20133804243
VNM-CHN,61216.54640905357
VNM-DEU,253203.70237923563
VNM-IND,74230.47725380156
VNM-KOR,75927.17822529836
VNM-MYS,32184.09368182096
VNM-ROA,76833.42240300207
VNM-ROE,240826.96789414518
VNM-ROW,227395.1346057501
VNM-THA,40337.42316941713
VNM-USA,330677.966127343
