edge,carbon_intensity_technology
CHE-CHN,3838.3307151015753
CHE-DEU,287.8340354303801
CHE-IND,3583.275109039592
CHE-KOR,4363.86038084523
CHE-MYS,5179.005927061126
CHE-ROA,4989.57412413235
CHE-ROE,539.1178938563631
CHE-ROW,2498.978028134276
CHE-THA,4600.74365685019
CHE-USA,3317.9170984497896
CHE-VNM,5009.665568462869
CHN-CHE,3838.3307151015753
CHN-DEU,3949.960565443652
CHN-IND,1656.3043248056036
CHN-KOR,498.84763222247584
CHN-MYS,2092.7476790847665
CHN-ROA,2170.597972960919
CHN-ROE,3705.454839472793
CHN-ROW,4437.988037184123
CHN-THA,822.9700902144716
CHN-USA,5518.366690203872
CHN-VNM,1102.2916614295824
DEU-CHE,287.8340354303801
DEU-CHN,3949.960565443652
DEU-IND,3190.2936767922217
DEU-KOR,4353.179585499437
DEU-MYS,5209.959158332074
DEU-ROA,4454.782018661918
DEU-ROE,412.30145404321835
DEU-ROW,2886.541620144773
DEU-THA,4107.468428464687
DEU-USA,3401.7160840407394
DEU-VNM,4564.013929960924
IND-CHE,3583.275109039592
IND-CHN,1656.3043248056036
IND-DEU,3190.2936767922217
IND-KOR,2033.4207856097492
IND-MYS,950.5919328662875
IND-ROA,672.5008400473728
IND-ROE,3350.2654789366453
IND-ROW,3027.010550662987
IND-THA,1160.271362199346
IND-USA,6049.229686057384
IND-VNM,1338.231602744955
KOR-CHE,4363.86038084523
KOR-CHN,498.84763222247584
KOR-DEU,4353.179585499437
KOR-IND,2033.4207856097492
KOR-MYS,2325.2958012353087
KOR-ROA,2430.5682844899014
KOR-ROE,4543.871238938887
KOR-ROW,5372.083145308839
KOR-THA,1578.9962448547278
KOR-USA,5565.487110284866
KOR-VNM,1371.914099563282
MYS-CHE,5179.005927061126
MYS-CHN,2092.7476790847665
MYS-DEU,5209.959158332074
MYS-IND,950.5919328662875
MYS-KOR,2325.2958012353087
MYS-ROA,705.7923634617226
MYS-ROE,4953.685539914026
MYS-ROW,5269.876125717389
MYS-THA,485.8711447256237
MYS-USA,6542.733950399676
MYS-VNM,580.4899433985234
ROA-CHE,4989.57412413235
ROA-CHN,2170.597972960919
ROA-DEU,4454.782018661918
ROA-IND,672.5008400473728
ROA-KOR,2430.5682844899014
ROA-MYS,705.7923634617226
ROA-ROE,4730.893213901612
ROA-ROW,4110.139431209129
ROA-THA,814.3855695384867
ROA-USA,5748.421624217294
ROA-VNM,1387.8289498023638
ROE-CHE,539.1178938563631
ROE-CHN,3705.454839472793
ROE-DEU,412.30145404321835
ROE-IND,3350.2654789366453
ROE-KOR,4543.871238938887
ROE-MYS,4953.685539914026
ROE-ROA,4730.893213901612
ROE-ROW,3694.259326146167
ROE-THA,3880.907259192597
ROE-USA,3247.1877605142466
ROE-VNM,4344.951299956044
ROW-CHE,2498.978028134276
ROW-CHN,4437.988037184123
ROW-DEU,2886.541620144773
ROW-IND,3027.010550662987
ROW-KOR,5372.083145308839
ROW-MYS,5269.876125717389
ROW-ROA,4110.139431209129
ROW-ROE,3694.259326146167
ROW-THA,5370.241599922076
ROW-USA,4775.914891348381
ROW-VNM,4099.277858651234
THA-CHE,4600.74365685019
THA-CHN,822.9700902144716
THA-DEU,4107.468428464687
THA-IND,1160.271362199346
THA-KOR,1578.9962448547278
THA-MYS,485.8711447256237
THA-ROA,814.3855695384867
THA-ROE,3880.907259192597
THA-ROW,5370.241599922076
THA-USA,6763.866352481887
THA-VNM,729.3649317558643
USA-CHE,3317.9170984497896
USA-CHN,5518.366690203872
USA-DEU,3401.7160840407394
USA-IND,6049.229686057384
USA-KOR,5565.487110284866
USA-MYS,6542.733950399676
USA-ROA,5748.421624217294
USA-ROE,3247.1877605142466
USA-ROW,4775.914891348381
USA-THA,6763.866352481887
USA-VNM,5960.525736002436
VNM-CHE,5009.665568462869
VNM-CHN,1102.2916614295824
VNM-DEU,4564.013929960924
VNM-IND,1338.231602744955
VNM-KOR,1371.914099563282
VNM-MYS,580.4899433985234
VNM-ROA,1387.8289498023638
VNM-ROE,4344.951299956044
VNM-ROW,4099.277858651234
VNM-THA,729.3649317558643
VNM-USA,5960.525736002436
