edge,opex_specific_variable
CHE-CHN,76121.19525422219
CHE-DEU,5702.038466857376
CHE-IND,70951.2222592293
CHE-KOR,86483.42397191168
CHE-MYS,102732.64889652224
CHE-ROA,98932.7869997312
CHE-ROE,10664.891246379848
CHE-ROW,49539.37090222846
CHE-THA,91214.30726004437
CHE-USA,65878.71356522007
CHE-VNM,99285.7154842158
CHN-CHE,76121.19525422219
CHN-DEU,78232.6825040302
CHN-IND,32838.10372494566
CHN-KOR,9861.33471743387
CHN-MYS,41487.03379330513
CHN-ROA,43014.48039217758
CHN-ROE,73435.53627898645
CHN-ROW,87950.05121558512
CHN-THA,16299.750177927612
CHN-USA,109370.20875470707
CHN-VNM,21881.68086129605
DEU-CHE,5702.038466857376
DEU-CHN,78232.6825040302
DEU-IND,63214.86262066317
DEU-KOR,86192.18025376772
DEU-MYS,103270.14423192716
DEU-ROA,88239.98825805855
DEU-ROE,8150.002013268735
DEU-ROW,57216.93665195307
DEU-THA,81411.20874002025
DEU-USA,67434.21249875926
DEU-VNM,90501.50085416826
IND-CHE,70951.2222592293
IND-CHN,32838.10372494566
IND-DEU,63214.86262066317
IND-KOR,40320.784294110695
IND-MYS,18831.701548830594
IND-ROA,13309.181235286567
IND-ROE,66432.86994065523
IND-ROW,60089.32254511419
IND-THA,23001.601843825136
IND-USA,119723.02132866805
IND-VNM,26511.918876320784
KOR-CHE,86483.42397191168
KOR-CHN,9861.33471743387
KOR-DEU,86192.18025376772
KOR-IND,40320.784294110695
KOR-MYS,46077.81046523577
KOR-ROA,48133.36411627458
KOR-ROE,90103.23365158638
KOR-ROW,106453.83231499914
KOR-THA,31310.22343925243
KOR-USA,110362.5743309691
KOR-VNM,27159.7740809274
MYS-CHE,102732.64889652224
MYS-CHN,41487.03379330513
MYS-DEU,103270.14423192716
MYS-IND,18831.701548830594
MYS-KOR,46077.81046523577
MYS-ROA,13973.357405380236
MYS-ROE,98181.19759565702
MYS-ROW,104312.47829149708
MYS-THA,9621.556945237407
MYS-USA,129620.78028100685
MYS-VNM,11494.683171578056
ROA-CHE,98932.7869997312
ROA-CHN,43014.48039217758
ROA-DEU,88239.98825805855
ROA-IND,13309.181235286567
ROA-KOR,48133.36411627458
ROA-MYS,13973.357405380236
ROA-ROE,93704.93905219452
ROA-ROW,81434.1292702651
ROA-THA,16133.773567161708
ROA-USA,113861.7633744844
ROA-VNM,27491.731175501284
ROE-CHE,10664.891246379848
ROE-CHN,73435.53627898645
ROE-DEU,8150.002013268735
ROE-IND,66432.86994065523
ROE-KOR,90103.23365158638
ROE-MYS,98181.19759565702
ROE-ROA,93704.93905219452
ROE-ROW,73122.94079741335
ROE-THA,76823.31921726672
ROE-USA,64325.58962444459
ROE-VNM,86018.63190552042
ROW-CHE,49539.37090222846
ROW-CHN,87950.05121558512
ROW-DEU,57216.93665195307
ROW-IND,60089.32254511419
ROW-KOR,106453.83231499914
ROW-MYS,104312.47829149708
ROW-ROA,81434.1292702651
ROW-ROE,73122.94079741335
ROW-THA,106265.72282601754
ROW-USA,94622.42963214995
ROW-VNM,81275.04814812503
THA-CHE,91214.30726004437
THA-CHN,16299.750177927612
THA-DEU,81411.20874002025
THA-IND,23001.601843825136
THA-KOR,31310.22343925243
THA-MYS,9621.556945237407
THA-ROA,16133.773567161708
THA-ROE,76823.31921726672
THA-ROW,106265.72282601754
THA-USA,133974.28659389034
THA-VNM,14434.115065149153
USA-CHE,65878.71356522007
USA-CHN,109370.20875470707
USA-DEU,67434.21249875926
USA-IND,119723.02132866805
USA-KOR,110362.5743309691
USA-MYS,129620.78028100685
USA-ROA,113861.7633744844
USA-ROE,64325.58962444459
USA-ROW,94622.42963214995
USA-THA,133974.28659389034
USA-VNM,118056.13268767097
VNM-CHE,99285.7154842158
VNM-CHN,21881.68086129605
VNM-DEU,90501.50085416826
VNM-IND,26511.918876320784
VNM-KOR,27159.7740809274
VNM-MYS,11494.683171578056
VNM-ROA,27491.731175501284
VNM-ROE,86018.63190552042
VNM-ROW,81275.04814812503
VNM-THA,14434.115065149153
VNM-USA,118056.13268767097
