year,AUS,BRA,CHE,CHN,DEU,DNK,GBR,IND,JPN,NLD,ROE,ROW,SWE,USA
2021,1.418,3.558,0.0,41.58,0.0,0.0,0.0,1.459,0.263,0.0,0.0,3.898,0.0,13.037
2022,1.838,2.633,0.0,43.63,0.0,0.0,0.0,1.846,0.166,0.0,0.0648,8.119,0.0,8.927
2023,0.764,4.087,0.0,53.725,0.0,0.0,0.0,3.217,0.69,0.0,0.0012,3.639,0.0,7.034
2024,1.276,2.541,0.0,56.718,0.0,0.0,0.0,3.833,0.716,0.0,0.2026,5.214,0.0,8.359
2025,1.948,2.063,0.0,60.015,0.0,0.0,0.0,4.332,0.754,0.0,4.1442,7.362,0.0,10.946
2026,1.702,1.618,0.0,45.675,0.0,0.0,1.7755,3.735,0.741,0.0,2.1757,9.849,0.0,14.946
2027,1.1,1.4,0.0,48.323,0.0,0.0,8.0459,3.897,0.667,0.0,17.8571,12.609,0.0,15.904
2028,1.35,2.3,0.6151,54.74,0.0,0.0,4.9015,4.0,0.76,2.7601,20.5863,12.589,0.0,17.087
2029,1.15,2.55,0.0119,60.946,0.0,0.0,2.9901,4.3,0.618,3.6728,30.8316,11.296,0.0,18.122
2030,2.25,2.7,0.0,64.765,1.9046,0.0,2.306,4.7,0.903,2.3139,34.8331,12.3,0.0,19.769
