edge,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AUS-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-CHN,inf,inf,inf,inf,0,0,0,0,0,0
AUS-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUS-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-CHN,inf,inf,inf,inf,0,0,0,0,0,0
BRA-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-CHN,inf,inf,inf,inf,0,0,0,0,0,0
CHE-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHE-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHN-AUS,inf,inf,inf,inf,0,0,0,0,0,0
CHN-BRA,inf,inf,inf,inf,0,0,0,0,0,0
CHN-CHE,inf,inf,inf,inf,0,0,0,0,0,0
CHN-DEU,inf,inf,inf,inf,0,0,0,0,0,0
CHN-DNK,inf,inf,inf,inf,0,0,0,0,0,0
CHN-GBR,inf,inf,inf,inf,0,0,0,0,0,0
CHN-IND,inf,inf,inf,inf,0,0,0,0,0,0
CHN-JPN,inf,inf,inf,inf,0,0,0,0,0,0
CHN-NLD,inf,inf,inf,inf,0,0,0,0,0,0
CHN-ROE,inf,inf,inf,inf,0,0,0,0,0,0
CHN-ROW,inf,inf,inf,inf,0,0,0,0,0,0
CHN-SWE,inf,inf,inf,inf,0,0,0,0,0,0
CHN-USA,inf,inf,inf,inf,0,0,0,0,0,0
DEU-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-CHN,inf,inf,inf,inf,0,0,0,0,0,0
DEU-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-CHN,inf,inf,inf,inf,0,0,0,0,0,0
DNK-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DNK-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-CHN,inf,inf,inf,inf,0,0,0,0,0,0
GBR-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
